,Person,Subcategory,Category
0,Abdul Ahad Momand,Afghan cosmonauts,Astronauts
1,John-David F. Bartoe,American astronauts,Astronauts
2,Robert J. Cenker,American astronauts,Astronauts
3,Marion Dietrich,American astronauts,Astronauts
4,Jared Isaacman,American astronauts,Astronauts
5,Robert Hines (astronaut),American astronauts,Astronauts
6,Jeff Bezos,American astronauts,Astronauts
7,Kathryn D. Sullivan,American astronauts,Astronauts
8,Stephen Thorne (astronaut),American astronauts,Astronauts
9,Elliot See,American astronauts,Astronauts
10,Richard Garriott,American astronauts,Astronauts
11,Mark L. Polansky,American astronauts,Astronauts
12,James W. Wood,American astronauts,Astronauts
13,Ellen Ochoa,American astronauts,Astronauts
14,Brian O'Leary,American astronauts,Astronauts
15,Ronald Parise,American astronauts,Astronauts
16,Loren Shriver,American astronauts,Astronauts
17,Anthony Llewellyn,American astronauts,Astronauts
18,Charles L. Veach,American astronauts,Astronauts
19,Ed Lu,American astronauts,Astronauts
20,Steven Smith (astronaut),American astronauts,Astronauts
21,Steven Swanson,American astronauts,Astronauts
22,Robert Crippen,American astronauts,Astronauts
23,Richard Mastracchio,American astronauts,Astronauts
24,Robert T. Herres,American astronauts,Astronauts
25,Francisco Rubio (astronaut),American astronauts,Astronauts
26,Gregory Jarvis,American astronauts,Astronauts
27,Yvonne Cagle,American astronauts,Astronauts
28,Martin J. Fettman,American astronauts,Astronauts
29,Anna Menon,American astronauts,Astronauts
30,James van Hoften,American astronauts,Astronauts
31,Mercury Seven,American astronauts,Astronauts
32,Norman Thagard,American astronauts,Astronauts
33,Garrett Reisman,American astronauts,Astronauts
34,Jack R. Lousma,American astronauts,Astronauts
35,Henry Hartsfield,American astronauts,Astronauts
36,Donald Pettit,American astronauts,Astronauts
37,Samuel T. Durrance,American astronauts,Astronauts
38,Sandra Magnus,American astronauts,Astronauts
39,Michael Lampton,American astronauts,Astronauts
40,Victor J. Glover,American astronauts,Astronauts
41,Livingston L. Holder Jr.,American astronauts,Astronauts
42,Gregory T. Linteris,American astronauts,Astronauts
43,Donald Holmquest,American astronauts,Astronauts
44,Sian Proctor,American astronauts,Astronauts
