,Word,Count,Subcategory
0,space,794,American astronauts
1,nasa,492,American astronauts
2,mission,352,American astronauts
3,astronaut,345,American astronauts
4,flight,273,American astronauts
5,shuttle,221,American astronauts
6,university,214,American astronauts
7,air,204,American astronauts
8,bezos,197,American astronauts
9,science,182,American astronauts
10,crew,176,American astronauts
11,american,166,American astronauts
12,station,165,American astronauts
13,school,153,American astronauts
14,pilot,152,American astronauts
15,force,150,American astronauts
16,served,146,American astronauts
17,ride,132,American astronauts
18,hours,131,American astronauts
19,center,129,American astronauts
20,research,128,American astronauts
21,training,128,American astronauts
22,program,125,American astronauts
23,test,124,American astronauts
24,degree,121,American astronauts
25,born,118,American astronauts
26,$,117,American astronauts
27,astronauts,115,American astronauts
28,engineering,114,American astronauts
29,new,113,American astronauts
30,time,112,American astronauts
31,career,109,American astronauts
32,national,102,American astronauts
33,received,102,American astronauts
34,international,100,American astronauts
35,earth,99,American astronauts
36,member,97,American astronauts
37,california,96,American astronauts
38,united,96,American astronauts
39,life,95,American astronauts
40,states,95,American astronauts
41,award,89,American astronauts
42,july,85,American astronauts
43,medal,85,American astronauts
44,selected,82,American astronauts
45,group,81,American astronauts
46,january,80,American astronauts
47,amazon,79,American astronauts
48,later,79,American astronauts
49,september,78,American astronauts
50,space,271,Russian cosmonauts
51,cosmonaut,189,Russian cosmonauts
52,russian,181,Russian cosmonauts
53,soyuz,164,Russian cosmonauts
54,gagarin,163,Russian cosmonauts
55,flight,142,Russian cosmonauts
56,expedition,130,Russian cosmonauts
57,iss,113,Russian cosmonauts
58,station,112,Russian cosmonauts
59,spacewalk,107,Russian cosmonauts
60,crew,89,Russian cosmonauts
61,training,88,Russian cosmonauts
62,hours,76,Russian cosmonauts
63,mir,72,Russian cosmonauts
64,air,68,Russian cosmonauts
65,module,67,Russian cosmonauts
66,spacecraft,67,Russian cosmonauts
67,minutes,64,Russian cosmonauts
68,engineer,63,Russian cosmonauts
69,soviet,61,Russian cosmonauts
70,april,59,Russian cosmonauts
71,march,59,Russian cosmonauts
72,mission,57,Russian cosmonauts
73,commander,56,Russian cosmonauts
74,days,56,Russian cosmonauts
75,earth,56,Russian cosmonauts
76,pilot,56,Russian cosmonauts
77,born,55,Russian cosmonauts
78,aboard,52,Russian cosmonauts
79,nasa,47,Russian cosmonauts
80,october,46,Russian cosmonauts
81,yuri,46,Russian cosmonauts
82,served,45,Russian cosmonauts
83,career,44,Russian cosmonauts
84,force,44,Russian cosmonauts
85,usachov,44,Russian cosmonauts
86,performed,42,Russian cosmonauts
87,astronaut,41,Russian cosmonauts
88,international,41,Russian cosmonauts
89,time,41,Russian cosmonauts
90,utc,41,Russian cosmonauts
91,returned,40,Russian cosmonauts
92,school,40,Russian cosmonauts
93,experiment,39,Russian cosmonauts
94,installed,39,Russian cosmonauts
95,1,38,Russian cosmonauts
96,5,38,Russian cosmonauts
97,graduated,37,Russian cosmonauts
98,cosmonauts,36,Russian cosmonauts
99,kotov,36,Russian cosmonauts
100,space,50,German astronauts
101,astronaut,38,German astronauts
102,mission,38,German astronauts
103,german,32,German astronauts
104,esa,26,German astronauts
105,european,24,German astronauts
106,germany,22,German astronauts
107,maurer,19,German astronauts
108,station,16,German astronauts
109,university,16,German astronauts
110,team,14,German astronauts
111,training,14,German astronauts
112,international,13,German astronauts
113,schlegel,13,German astronauts
114,selected,13,German astronauts
115,west,11,German astronauts
116,agency,10,German astronauts
