,Sentence
0,"Anne Von Bertouch, (29 June 1915 – 31 March 2003) was an Australian art dealer, author, environmentalist and director of the Von Bertouch Galleries in Newcastle, New South Wales, believed to be the first commercial gallery outside a capital city in Australia."
1,ISBN 978-0-9592824-1-2. OCLC 27623615.
2,"Von Bertouch, Anne (1983)."
3,"The terraces were purchased by Dr Dick Lees for #1,420,000 in 2007, and in 2010 were listed for sale at A$1.6 million."
4,What was it before it was a gallery?.
5,"Biography Born Anne Catherine, to parents Jean (née Duff) and George Whittle on 29 June 1915 in Eastwood, New South Wales, she was educated at Sydney Girls High School and Armidale Teachers College."
6,In 1942 she performed modern interpretive dance at a Town Hall concert in Hobart organised by the Australian Broadcasting Commission Patriotic Committee as a fundraiser on Allies' Appeal Day.
7,The voyage out: the First Fleet re-enactment.
8,"In 1941 she was the organiser of a National Fitness Camp for girls at Broken Bay, New South Wales."
9,It will always have its own intrinsic value.
10,The four terrace houses sold together for a fourth time in 2015.
11,They mustn't attempt to please.
12,In fact I won't sell to them.
13,"Shortly before her death Von Bertouch bequeathed a total of 136 works from her personal collection to the Newcastle Region Art Gallery, the biggest art collection bestowed to it in 58 years and valued in the millions of dollars; they were exhibited there in March 2003."
14,I don't want them to have pictures if they aren't going to appreciate them.
15,Her funeral at Christ Church Cathedral with a eulogy by Newcastle Region Art Gallery director Nick Mitzevich was attended by 500 mourners.
16,"In 1969, not long after Anne had been injured and suffered a coma in a serious car accident near Morisset the couple separated."
17,"They were threatened with demolition, and she combined and converted them, over five years and with the help of friends, to house the gallery, which opened in 1974, after the couple had dissolved their partnership in the gallery in 1973."
18,The dispute became litigious with the outcome being its sale in 2007 by Supreme Court-appointed trustee Ferrier Hodgson.
19,"The Bulletin in 1974 described Von Bertouch Galleries as ""one of the most famous in Australia..."
20,I tell them to go and buy real estate.
21,Melbourne: Lansdowne.
22,"Germaine, Max; Bertouch, Anne von (1991)."
23,One could have complete trust in her without having to worry.
24,Commercial gain is really incidental.
