,Person,Subcategory,Category
0,Khalilullah Khalili,Afghan writers,Writers
1,Mohammad Hashem Zamani,Afghan writers,Writers
2,Mohammad Ishaq Aloko,Afghan writers,Writers
3,Mohammad Shafiq Hamdam,Afghan writers,Writers
4,M. Jamil Hanifi,Afghan writers,Writers
5,Malalai Joya,Afghan writers,Writers
6,Mohammad Amin Wakman,Afghan writers,Writers
7,Burhanuddin Kushkaki,Afghan writers,Writers
8,Saifuddin Jalal,Afghan writers,Writers
9,Parween Pazhwak,Afghan writers,Writers
10,Idries Shah,Afghan writers,Writers
11,Awista Ayub,Afghan writers,Writers
12,Masuma Esmati-Wardak,Afghan writers,Writers
13,Nazar Mohammad Mutmaeen,Afghan writers,Writers
14,Qais Akbar Omar,Afghan writers,Writers
15,Qiamuddin Khadim,Afghan writers,Writers
16,Jamil Jan Kochai,Afghan writers,Writers
17,Razaq Mamoon,Afghan writers,Writers
18,Mujawar Ahmad Zyar,Afghan writers,Writers
19,Hamid Zaher,Afghan writers,Writers
20,Lutfullah Mashal,Afghan writers,Writers
21,Durkhanai Ayubi,Afghan writers,Writers
22,Zohre Esmaeli,Afghan writers,Writers
23,Sonita Alizadeh,Afghan writers,Writers
24,Hafizullah Khaled,Afghan writers,Writers
25,Massoud Nawabi,Afghan writers,Writers
26,Humira Saqib,Afghan writers,Writers
27,Hyder Akbar,Afghan writers,Writers
28,Chékéba Hachemi,Afghan writers,Writers
29,Abdul Hai Habibi,Afghan writers,Writers
30,Gharzai Khwakhuzhi,Afghan writers,Writers
31,Asef Soltanzadeh,Afghan writers,Writers
32,Farhad Bitani,Afghan writers,Writers
33,Rahraw Omarzad,Afghan writers,Writers
34,Mohammad Daud Miraki,Afghan writers,Writers
35,Mohammad Yousuf Azraq,Afghan writers,Writers
36,Ali Mohaqiq Nasab,Afghan writers,Writers
37,Gul Pacha Ulfat,Afghan writers,Writers
38,Spôjmaï Zariâb,Afghan writers,Writers
39,Hakan Massoud Navabi,Afghan writers,Writers
40,Abdul Hamid Bahij,Afghan writers,Writers
41,Fariba Nawa,Afghan writers,Writers
42,Sakena Yacoobi,Afghan writers,Writers
43,Layla Sarahat Rushani,Afghan writers,Writers
44,Kazem Kazemi,Afghan writers,Writers
45,Amanullah Sailaab Sapi,Afghan writers,Writers
46,Fereshteh Forough,Afghan writers,Writers
47,Y. Misdaq,Afghan writers,Writers
48,Hasan Akhund,Afghan writers,Writers
49,Wasef Bakhtari,Afghan writers,Writers
50,Mohammad Ibraheem Khwakhuzhi,Afghan writers,Writers
51,Maryam Mahboob,Afghan writers,Writers
52,Faizullah Kakar,Afghan writers,Writers
53,Theodhor Haxhifilipi,Albanian writers,Writers
54,Panayotis Koupitoris,Albanian writers,Writers
55,Julia Gjika,Albanian writers,Writers
56,Hasan Tahsini,Albanian writers,Writers
57,Mimoza Ahmeti,Albanian writers,Writers
58,Stefan Shundi,Albanian writers,Writers
59,Luan Starova,Albanian writers,Writers
60,Tom Kuka,Albanian writers,Writers
61,Robert Shvarc,Albanian writers,Writers
62,Rudi Erëbara,Albanian writers,Writers
63,Kostandin Kristoforidhi,Albanian writers,Writers
64,Amik Kasoruho,Albanian writers,Writers
65,Bashkim Shehu,Albanian writers,Writers
66,Fatmir Toçi,Albanian writers,Writers
67,Jani Vreto,Albanian writers,Writers
68,Pjetër Zarishi,Albanian writers,Writers
69,Uran Butka,Albanian writers,Writers
70,Dora d'Istria,Albanian writers,Writers
71,Lasgush Poradeci,Albanian writers,Writers
72,Daut Demaku,Albanian writers,Writers
73,Mynever Shuteriqi,Albanian writers,Writers
74,Gjergj Zheji,Albanian writers,Writers
75,Klara Buda,Albanian writers,Writers
76,Pandeli Sotiri,Albanian writers,Writers
77,Maria Antonia Braile,Albanian writers,Writers
78,Ilir Ikonomi,Albanian writers,Writers
79,Luljeta Lleshanaku,Albanian writers,Writers
80,Ramadan Sokoli,Albanian writers,Writers
81,Arjan Konomi,Albanian writers,Writers
82,Flora Brovina,Albanian writers,Writers
83,Lola Gjoka,Albanian writers,Writers
84,Brikena Smajli,Albanian writers,Writers
85,Konstantinos Tzechanis,Albanian writers,Writers
86,Mirela Kumbaro,Albanian writers,Writers
87,Ndriçim Ademaj,Albanian writers,Writers
88,File:Eqrem Çabej (portret).jpeg,Albanian writers,Writers
89,Majlinda Nana Rama,Albanian writers,Writers
90,Tahir Kolgjini,Albanian writers,Writers
91,Besnik Mustafaj,Albanian writers,Writers
92,Gregory IV of Athens,Albanian writers,Writers
93,Mehmet Kraja,Albanian writers,Writers
94,Sabri Godo,Albanian writers,Writers
95,Skënder Luarasi,Albanian writers,Writers
96,Jolanda Kodra,Albanian writers,Writers
97,Aleksandër Stavre Drenova,Albanian writers,Writers
98,Kadri Gjata,Albanian writers,Writers
99,Hil Mosi,Albanian writers,Writers
100,Migjeni,Albanian writers,Writers
101,Haki Stërmilli,Albanian writers,Writers
102,Pjetër Arbnori,Albanian writers,Writers
103,Rifat Hoxha,Albanian writers,Writers
104,Masiela Lusha,Albanian writers,Writers
105,Ahlam Mosteghanemi,Algerian writers,Writers
106,Amara Lakhous,Algerian writers,Writers
107,Jacob Cansino,Algerian writers,Writers
108,Wassyla Tamzali,Algerian writers,Writers
109,Tahar Djaout,Algerian writers,Writers
110,Muhammad Hazi,Algerian writers,Writers
111,Latifa Ben Mansour,Algerian writers,Writers
112,Hamid Tibouchi,Algerian writers,Writers
113,Malek Alloula,Algerian writers,Writers
114,Habib Souaidia,Algerian writers,Writers
115,Djemila Benhabib,Algerian writers,Writers
116,Leïla Marouane,Algerian writers,Writers
117,Salima Ghezali,Algerian writers,Writers
118,Othman Saadi,Algerian writers,Writers
119,Djamel Amrani,Algerian writers,Writers
120,Nouria Benghabrit-Remaoun,Algerian writers,Writers
121,Zighen Aym,Algerian writers,Writers
122,Fadhila El Farouk,Algerian writers,Writers
123,Ibn Rachik,Algerian writers,Writers
124,Mohamed Aïchaoui,Algerian writers,Writers
125,Ahmed Mahsas,Algerian writers,Writers
126,Hamida Ayashi,Algerian writers,Writers
127,Ahmed Benzelikha,Algerian writers,Writers
128,Leïla Sebbar,Algerian writers,Writers
129,Abu Bakr al-Jazaeri,Algerian writers,Writers
130,Mubarek el Mili,Algerian writers,Writers
131,Mouloud Feraoun,Algerian writers,Writers
132,Sara al-Nams,Algerian writers,Writers
133,Mohammed Chaouki Zine,Algerian writers,Writers
134,Salim Bachi,Algerian writers,Writers
135,Samira Bellil,Algerian writers,Writers
136,Mustapha Haciane,Algerian writers,Writers
137,Aziz Chouaki,Algerian writers,Writers
138,Malika Arabi,Algerian writers,Writers
139,Azouz Begag,Algerian writers,Writers
140,Ali El Kenz,Algerian writers,Writers
141,Berthe Bénichou-Aboulker,Algerian writers,Writers
142,Zuhur Wanasi,Algerian writers,Writers
143,Mabrook Dreidi,Algerian writers,Writers
144,Malika Mokeddem,Algerian writers,Writers
145,Abdelhamid ben Hadouga,Algerian writers,Writers
146,Faïza Guène,Algerian writers,Writers
147,Amèle El Mahdi,Algerian writers,Writers
148,Tahar Ouettar,Algerian writers,Writers
149,Colette Béatrice Aboulker-Muscat,Algerian writers,Writers
150,Salem Zenia,Algerian writers,Writers
151,Martianus Capella,Algerian writers,Writers
152,Pierre Rabhi,Algerian writers,Writers
153,Abdelouahab Aissaoui,Algerian writers,Writers
154,Omar Racim,Algerian writers,Writers
155,Abdelkader Alloula,Algerian writers,Writers
156,Fodil El Ouratilani,Algerian writers,Writers
157,Corinne Chevallier,Algerian writers,Writers
158,Kamel Daoud,Algerian writers,Writers
159,Nabile Farès,Algerian writers,Writers
160,Fatma Zohra Zamoum,Algerian writers,Writers
161,Farida Belghoul,Algerian writers,Writers
162,Rachid Mimouni,Algerian writers,Writers
163,Said Khatibi,Algerian writers,Writers
164,Mouloud Mammeri,Algerian writers,Writers
165,Karima Berger,Algerian writers,Writers
166,Leïla Aouchal,Algerian writers,Writers
167,Mohamed Nadir Sebaa,Algerian writers,Writers
168,Mohand Arav Bessaoud,Algerian writers,Writers
169,Rouchdi Redouane,Algerian writers,Writers
170,Yamina Bachir,Algerian writers,Writers
171,Abdulatif Ould Abdullah,Algerian writers,Writers
172,Malek Bennabi,Algerian writers,Writers
173,Habib Sayah,Algerian writers,Writers
174,Anna Gréki,Algerian writers,Writers
175,Habiba Djahnine,Algerian writers,Writers
176,Boualem Bessaïh,Algerian writers,Writers
177,Tahar Lamri,Algerian writers,Writers
178,Abdelmalek Sayad,Algerian writers,Writers
179,Anna Arnold Hedgeman,American writers,Writers
180,Elly Bulkin,American writers,Writers
181,Robert H. Locke,American writers,Writers
182,Paul Richman,American writers,Writers
183,William Gayley Simpson,American writers,Writers
184,George Jenkins (dentist),American writers,Writers
185,Rachel Yoder,American writers,Writers
186,Martha A. Sandweiss,American writers,Writers
187,J. K. Bettersworth,American writers,Writers
188,Earl Blackwell,American writers,Writers
189,Josephine Bond Hebron,American writers,Writers
190,Janis Amatuzio,American writers,Writers
191,Amelia Gere Mason,American writers,Writers
192,Fred Hirsch (entrepreneur),American writers,Writers
193,Kate Hennessy,American writers,Writers
194,Sarah Louise Delany,American writers,Writers
195,Arthur Drexler,American writers,Writers
196,Charles Graeber,American writers,Writers
197,S. Anna Gordon,American writers,Writers
198,John C. Graves,American writers,Writers
199,Raymond Charles Vietzen,American writers,Writers
200,Glen T. Martin,American writers,Writers
201,Martha Blue,American writers,Writers
202,S. Mitra Kalita,American writers,Writers
203,Peter Cozzens,American writers,Writers
204,Demico Boothe,American writers,Writers
205,Slobodan Ćuk,American writers,Writers
206,Dane Coolidge,American writers,Writers
207,Joseph Carvalko Jr.,American writers,Writers
208,John Cabrera,American writers,Writers
209,Ken Forkish,American writers,Writers
210,Joe Martin (writer),American writers,Writers
211,Hazel Ghazarian Skaggs,American writers,Writers
212,Beth Van Schaack,American writers,Writers
213,Kai Hibbard,American writers,Writers
214,Linda Leavell,American writers,Writers
215,Mary J. Serrano,American writers,Writers
216,Andrew Leon Hanna,American writers,Writers
217,Mordecai Schreiber,American writers,Writers
218,Vladimir Radunsky,American writers,Writers
219,Vivian Maria Vasquez,American writers,Writers
220,Edwin George Lutz,American writers,Writers
221,William Chauncey Bartlett,American writers,Writers
222,Edith Wire,American writers,Writers
223,Eric Rasmussen (academic),American writers,Writers
224,Gary Anthony Williams,American writers,Writers
225,Evette Rios,American writers,Writers
226,Daniel O. Griffin,American writers,Writers
227,Sibley Miller,American writers,Writers
228,William Meredith Cunningham,American writers,Writers
229,Tex O'Reilly,American writers,Writers
230,Gordon B. Dodds,American writers,Writers
231,Jeff Fisher (author),American writers,Writers
232,Mildred Weston,American writers,Writers
233,Matthew Locricchio,American writers,Writers
234,Fred Perry (comics),American writers,Writers
235,Robert Niemi,American writers,Writers
236,Herbert Aldinger,American writers,Writers
237,Jake Sherman (journalist),American writers,Writers
238,David Updike,American writers,Writers
239,Wayne G. Hammond,American writers,Writers
240,Julie Buxbaum,American writers,Writers
241,Audeen W. Fentiman,American writers,Writers
242,Elise Fellows White,American writers,Writers
243,Frank Siedel,American writers,Writers
244,Elizabeth Pipko,American writers,Writers
245,Jim Keith,American writers,Writers
246,Bonnie Bremser,American writers,Writers
247,Douglas Goldhamer,American writers,Writers
248,Meagan Spooner,American writers,Writers
249,Jerry Andrus,American writers,Writers
250,Dorie Clark,American writers,Writers
251,William A. Ulman,American writers,Writers
